algorithm,input_type,n,trial,time_ms,mem_kb
selectionsort,random,10000,9,206.408,0
bubblesort,random,10000,9,627.611,0
mergesort,random,10000,10,2.9506,40
quicksort,random,10000,10,2.8995,0
insertionsort,random,10000,10,235.823,0
selectionsort,random,10000,10,207.138,0
bubblesort,random,10000,10,633.99,0
mergesort,sorted,10000,1,2.0162,40
quicksort,sorted,10000,1,2.4684,0
insertionsort,sorted,10000,1,0.1048,0
selectionsort,sorted,10000,1,208.193,0
bubblesort,sorted,10000,1,0.0425,0
mergesort,sorted,10000,2,2.0217,40
quicksort,sorted,10000,2,2.5862,0
insertionsort,sorted,10000,2,0.096,0
selectionsort,sorted,10000,2,211.286,0
bubblesort,sorted,10000,2,0.0425,0
mergesort,sorted,10000,3,2.073,40
quicksort,sorted,10000,3,2.4667,0
insertionsort,sorted,10000,3,0.1071,0
selectionsort,sorted,10000,3,206.131,0
bubblesort,sorted,10000,3,0.0425,0
mergesort,sorted,10000,4,2.0626,40
quicksort,sorted,10000,4,2.779,0
insertionsort,sorted,10000,4,0.098,0
selectionsort,sorted,10000,4,214.778,0
bubblesort,sorted,10000,4,0.0648,0
mergesort,sorted,10000,5,2.1034,40
quicksort,sorted,10000,5,2.6164,0
insertionsort,sorted,10000,5,0.0981,0
selectionsort,sorted,10000,5,204.333,0
bubblesort,sorted,10000,5,0.0427,0
mergesort,sorted,10000,6,2.9579,40
quicksort,sorted,10000,6,2.5461,0
insertionsort,sorted,10000,6,0.1055,0
selectionsort,sorted,10000,6,209.82,0
bubblesort,sorted,10000,6,0.0424,0
mergesort,sorted,10000,7,2.1065,40
quicksort,sorted,10000,7,2.5834,0
insertionsort,sorted,10000,7,0.1004,0
selectionsort,sorted,10000,7,209.755,0
bubblesort,sorted,10000,7,0.0427,0
mergesort,sorted,10000,8,2.0829,40
quicksort,sorted,10000,8,2.3891,0
insertionsort,sorted,10000,8,0.1071,0
selectionsort,sorted,10000,8,208.298,0
bubblesort,sorted,10000,8,0.0426,0
mergesort,sorted,10000,9,2.2169,40
quicksort,sorted,10000,9,2.875,0
insertionsort,sorted,10000,9,0.1071,0
selectionsort,sorted,10000,9,204.545,0
bubblesort,sorted,10000,9,0.0604,0
mergesort,sorted,10000,10,2.0814,40
quicksort,sorted,10000,10,2.6053,0
insertionsort,sorted,10000,10,0.107,0
selectionsort,sorted,10000,10,206.385,0
bubblesort,sorted,10000,10,0.0427,0
mergesort,reverse,10000,1,2.2185,40
quicksort,reverse,10000,1,7.0147,0
insertionsort,reverse,10000,1,480.535,0
selectionsort,reverse,10000,1,212.266,0
